ID;Aufgabentyp;Tehma;Aufgabe;Notiz;
56;Einzelquellenverarbeitung;max;Was habe ich maximal mit mp_4 produziert über das letzte Monat?;falscher mp;
57;Einzelquellenverarbeitung;multiply;Zeige mir eine Grafik von meinem Zählpunkt von mp_1 wenn ich doppelt so viel verbrauchen würde.;Zeitraum?;
58;Einzelquellenverarbeitung;multiply;Zeige mir eine Grafik von mp_2 wenn ich letzte Woche doppelt so viel verbraucht hätte.;;
59;Einzelquellenverarbeitung;divide;Ich möchte sehen wie mein Verbrauch aussieht wenn ich nur noch halb so viel verbrauchen würde.;mp?;
60;Einzelquellenverarbeitung;divide;Ich möchte sehen wie mein Verbrauch von mp_2 aussieht wenn ich nur noch halb so viel verbrauchen würde.;;
61;Mehrquellenverarbeitung;add;Zeige mir den summierten Verlauf aller meiner Verbraucherzählpunkte über das letzte Monat.;;
62;Mehrquellenverarbeitung;add;Berechne mir eine Grafik mit dem summierten Energieverbrauch von mp_1 und mp_2 über das letzte Monat.;;
63;Mehrquellenverarbeitung;substract;Zeige mir meinen Verbrauch über das letzte Monat abzüglich meiner Erzeugung.;mp?;
64;Mehrquellenverarbeitung;substract;Zeige mir meinen Verbrauch von mp_1 über das letzte Monat abzüglich meiner Erzeugung von mp_3.;;
65;Mehrquellenverarbeitung;substract;Berechne eine Grafik mit dem Verbrauch meiner Energiegemeinschaft abzüglich meines Verbrauchs für letztes Jahr.;;
66;Mehrquellenverarbeitung;wmc;Wie hoch ist mein gewichteter Verbrauch über das letzte Monat?;mp?;
67;Mehrquellenverarbeitung;wmc;Wie hoch ist mein gewichteter Verbrauch von mp_1 über das letzte Monat?;;
68;Mehrquellenverarbeitung;wmc;Berechne mir den gewichteten Verbrauch von mp_1 und mp_2 für die letzten 3 Monate.;;
69;Mehrquellenverarbeitung;wmc;Gib mir den Gewichteten Verbrauch über das letzte Jahr für jeden meiner Verbraucherzählpunkte.;;
70;Mehrquellenverarbeitung;wmc;Ich hätte gerne den Verlauf meines gewichteten Verbrauchs von mp_2 für letzte Woche.;;
71;Mehrquellenverarbeitung;wmg;Zeige mir die gewichtete Erzeugung für mp_03 für letzen Monat.;falscher mp;
72;Mehrquellenverarbeitung;wmg;Ich würde gerne meine gewichtete Erzeugung über das letzte Jahr sehen.;;
73;Mehrquellenverarbeitung;wmg;Zeig mir meinen Erzeugung für das letzte Jahr, aber gewichte das nach Teilnamefaktor.;;
74;Mehrquellenverarbeitung;wmg;Zeig mir die gewichtete Erzeugung für mp_1;kein Erzeugerzählpunkt;
75;Mehrquellenverarbeitung;wmg;Zeige mir die gewichtete Erzeugung für mp_3 für das letzte Jahr.;;
76;Mehrquellenverarbeitung;cp;Berechne mir das Gemeinschaftspotential.;mp?;
77;Mehrquellenverarbeitung;cp;Berechne mir das Gemeinschaftspotential von mp_1 für letzten Monat.;;
78;Mehrquellenverarbeitung;cp;Ich wüsste gerne wie viel ich im laufe des letzten Monats mit mp_2 verbrauchen hätte können.;;
79;Mehrquellenverarbeitung;cp;Gib mir das Gemeinschaftspotential aller meiner Verbraucherzählpunkte.;Zeitraum?;
80;Mehrquellenverarbeitung;cp;Gib mir das Gemeinschaftspotential aller meiner Verbraucherzählpunkte für letztes Jahr.;;
81;Mehrquellenverarbeitung;cc;Wie hoch war meine Eigenabdeckung letztes Jahr?;mp?;
82;Mehrquellenverarbeitung;cc;Wie hoch war meine Eigenabdeckung von mp_1 letztes Jahr?;;
83;Mehrquellenverarbeitung;cc;Wie hoch war die Eigenabdeckung aller meiner Verbraucherzählpunkte letzes Jahr?;;
84;Mehrquellenverarbeitung;cc;Berechne mir die Eigenabdeckung für letztes Monat von mp_3.;kein Verbraucherzählpunkt;
85;Mehrquellenverarbeitung;cc;Berechne mir die Eigenabdeckung für meinen Verbraucherzählpunkt mp_2 für letzte Woche.;;
86;Mehrquellenverarbeitung;kombination;Gib mir bitte den gewichteten Verbrauch aller meiner Zählpunkte letzte Woche und gib mir auch deren Teilnamefaktoren.;;
87;Mehrquellenverarbeitung;kombination;Wie hoch war meine Eigenabdeckung von Zählpunkt mp_1 und mp_2 sowie deren gewichteten Verbrauch über das letzte Jahr.;;
88;Mehrquellenverarbeitung;kombination;Gib mir für letzte Woche meine meine Eigenabdeckung für mp_1 und mp_2 sowie das Gemeinschaftspotential.;;
89;Mehrquellenverarbeitung;kombination;Ich wüsste gerne für letzte Woche den Verbrauch gewichtet als auch ungewichtet für mp_1 und dessen Eigenabdeckung.;;
90;Mehrquellenverarbeitung;kombination;Gib mir Eigenabdeckung und Gemeinschaftspotential für alle meine Verbraucherzählpunkte über das letzte Monat.;;
91;;;;;
92;;;;;
93;;;;;
94;;;;;
95;;;;;
96;;;;;
97;;;;;
98;;;;;
99;;;;;
