task_type,task_id,method,model,tools_correct,arguments_correct,tools_efficient,answer_efficient,correct,efficient,error,runtime_seconds,input_tokens,output_tokens,total_tokens
Direkte Datenabfrage,7,iterative,qwen3:30b,1,1,1,1,1,1,,12.958,5397,1311,6708
Direkte Datenabfrage,7,iterative,gpt-5.4-mini,1,1,1,1,1,1,,2.178,4737,108,4845
Direkte Datenabfrage,8,deterministic,qwen3:8b,1,1,1,1,1,1,,6.220807599998807,3572,268,3840
Direkte Datenabfrage,8,deterministic,qwen3:30b,1,1,1,1,1,1,,5.780876400000125,3572,376,3948
Direkte Datenabfrage,8,deterministic,gpt-5.4-mini,1,1,0,0,1,0,,1.608274900005199,3127,67,3194
Direkte Datenabfrage,8,plan-based,qwen3:8b,1,1,1,1,1,1,,5.726033900000402,4974,228,5202
Direkte Datenabfrage,8,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,8,plan-based,gpt-5.4-mini,1,1,0,0,1,0,,1.8002611999982037,4368,68,4436
Direkte Datenabfrage,8,iterative,qwen3:8b,1,1,1,1,1,1,,10.213,10860,332,11192
Direkte Datenabfrage,8,iterative,qwen3:30b,1,1,1,1,1,1,,13.356,10860,942,11802
Direkte Datenabfrage,8,iterative,gpt-5.4-mini,1,1,0,0,1,0,,1.952,4735,66,4801
Direkte Datenabfrage,9,deterministic,qwen3:8b,1,1,1,1,1,1,,7.5305761999989045,3581,399,3980
Direkte Datenabfrage,9,deterministic,qwen3:30b,1,1,1,1,1,1,,6.521562599999015,3581,497,4078
Direkte Datenabfrage,9,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.4759174999999232,3136,28,3164
Direkte Datenabfrage,9,plan-based,qwen3:8b,1,1,1,1,1,1,,9.265454000000318,4983,547,5530
Direkte Datenabfrage,9,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,9,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,2.4587300999992294,4377,98,4475
Direkte Datenabfrage,9,iterative,qwen3:8b,1,1,1,1,1,1,,28.835,10878,1983,12861
Direkte Datenabfrage,9,iterative,qwen3:30b,1,1,1,1,1,1,,15.357,10878,1156,12034
Direkte Datenabfrage,9,iterative,gpt-5.4-mini,0,0,0,0,0,0,,2.24,4744,83,4827
Direkte Datenabfrage,10,deterministic,qwen3:8b,1,1,1,1,1,1,,7.818588599999202,3583,428,4011
Direkte Datenabfrage,10,deterministic,qwen3:30b,1,1,1,1,1,1,,8.658227400002943,3583,838,4421
Direkte Datenabfrage,10,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.6180652999973972,3134,48,3182
Direkte Datenabfrage,10,plan-based,qwen3:8b,1,1,1,1,1,1,,8.564162499998929,4985,490,5475
Direkte Datenabfrage,10,plan-based,qwen3:30b,1,1,1,1,1,1,,14.453142500002286,4985,1645,6630
Direkte Datenabfrage,10,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,2.3609328999955324,4375,111,4486
Direkte Datenabfrage,10,iterative,qwen3:8b,1,1,1,1,1,1,,14.57,10949,681,11630
Direkte Datenabfrage,10,iterative,qwen3:30b,1,1,1,1,1,1,,14.438,10949,1009,11958
Direkte Datenabfrage,10,iterative,gpt-5.4-mini,0,0,0,0,0,0,,1.818,4742,89,4831
Direkte Datenabfrage,11,deterministic,qwen3:8b,1,1,1,1,1,1,,11.828787899999952,3571,787,4358
Direkte Datenabfrage,11,deterministic,qwen3:30b,1,1,1,1,1,1,,13.046335999999428,3571,1497,5068
Direkte Datenabfrage,11,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.8382186999951955,3128,60,3188
Direkte Datenabfrage,11,plan-based,qwen3:8b,1,1,1,1,1,1,,17.64380589999928,4973,1277,6250
Direkte Datenabfrage,11,plan-based,qwen3:30b,1,1,1,1,1,1,,12.043501000000106,4973,1301,6274
Direkte Datenabfrage,11,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.8460285999972257,4369,105,4474
Direkte Datenabfrage,11,iterative,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,11,iterative,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,11,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.931,4736,90,4826
Direkte Datenabfrage,12,deterministic,qwen3:8b,0,0,0,0,0,0,,15.57475930000146,3573,1112,4685
Direkte Datenabfrage,12,deterministic,qwen3:30b,1,1,1,1,1,1,,5.909898600002634,3573,404,3977
Direkte Datenabfrage,12,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.4494742000024416,3130,26,3156
Direkte Datenabfrage,12,plan-based,qwen3:8b,1,1,1,1,1,1,,7.061358299999483,4975,337,5312
Direkte Datenabfrage,12,plan-based,qwen3:30b,1,1,1,1,1,1,,13.913675600000715,4975,1561,6536
Direkte Datenabfrage,12,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.7972087000016472,4371,103,4474
Direkte Datenabfrage,12,iterative,qwen3:8b,1,1,1,1,1,1,,13.525,10862,638,11500
Direkte Datenabfrage,12,iterative,qwen3:30b,1,1,1,1,1,1,,12.193,10862,757,11619
Direkte Datenabfrage,12,iterative,gpt-5.4-mini,0,0,0,0,0,0,,1.818,4738,54,4792
Direkte Datenabfrage,13,deterministic,qwen3:8b,1,1,1,1,1,1,,6.811552099999972,3572,318,3890
Direkte Datenabfrage,13,deterministic,qwen3:30b,1,1,1,1,1,1,,5.895521299993561,3572,397,3969
Direkte Datenabfrage,13,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.5429404000024078,3129,26,3155
Direkte Datenabfrage,13,plan-based,qwen3:8b,1,1,1,1,1,1,,10.889177899998685,4974,686,5660
Direkte Datenabfrage,13,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,13,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.785216500000388,4370,98,4468
Direkte Datenabfrage,13,iterative,qwen3:8b,1,1,1,1,1,1,,14.409,10860,686,11546
Direkte Datenabfrage,13,iterative,qwen3:30b,1,1,1,1,1,1,,13.715,10859,898,11757
Direkte Datenabfrage,13,iterative,gpt-5.4-mini,0,0,0,0,0,0,,1.766,4737,62,4799
Direkte Datenabfrage,14,deterministic,qwen3:8b,1,1,1,1,1,1,,6.798900300000241,3573,323,3896
Direkte Datenabfrage,14,deterministic,qwen3:30b,1,1,1,1,1,1,,5.863067400001455,3573,390,3963
Direkte Datenabfrage,14,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.4778521999978693,3129,26,3155
Direkte Datenabfrage,14,plan-based,qwen3:8b,1,1,1,1,1,1,,7.278723600000376,4975,361,5336
Direkte Datenabfrage,14,plan-based,qwen3:30b,1,1,1,1,1,1,,15.585002499996335,4975,1765,6740
Direkte Datenabfrage,14,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.829530100003467,4370,112,4482
Direkte Datenabfrage,14,iterative,qwen3:8b,1,1,1,1,1,1,,12.977,10862,551,11413
Direkte Datenabfrage,14,iterative,qwen3:30b,1,1,1,1,1,1,,12.919,10862,839,11701
Direkte Datenabfrage,14,iterative,gpt-5.4-mini,0,0,0,0,0,0,,1.975,4737,86,4823
Direkte Datenabfrage,15,deterministic,qwen3:8b,1,1,1,1,1,1,,7.117065599999478,3571,359,3930
Direkte Datenabfrage,15,deterministic,qwen3:30b,1,1,1,1,1,1,,6.223815300007118,3571,441,4012
Direkte Datenabfrage,15,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.5530338999960804,3127,26,3153
Direkte Datenabfrage,15,plan-based,qwen3:8b,1,1,1,1,1,1,,7.502713699999731,4973,388,5361
Direkte Datenabfrage,15,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,15,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.789909599996463,4368,103,4471
Direkte Datenabfrage,15,iterative,qwen3:8b,1,1,1,1,1,1,,16.787,10858,905,11763
Direkte Datenabfrage,15,iterative,qwen3:30b,1,1,1,1,1,1,,14.685,10858,1090,11948
Direkte Datenabfrage,15,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.921,4735,68,4803
Direkte Datenabfrage,16,deterministic,qwen3:8b,1,1,1,1,1,1,,8.547228200000973,3573,486,4059
Direkte Datenabfrage,16,deterministic,qwen3:30b,1,1,1,1,1,1,,7.2978180999998585,3573,602,4175
Direkte Datenabfrage,16,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.50714390000212,3130,26,3156
Direkte Datenabfrage,16,plan-based,qwen3:8b,1,1,1,1,1,1,,13.23534810000092,4975,897,5872
Direkte Datenabfrage,16,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,16,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.822476999994251,4371,103,4474
Direkte Datenabfrage,16,iterative,qwen3:8b,0,0,0,0,0,0,,24.474,10862,1577,12439
Direkte Datenabfrage,16,iterative,qwen3:30b,1,1,1,1,1,1,,19.98,10862,1779,12641
Direkte Datenabfrage,16,iterative,gpt-5.4-mini,0,0,0,0,0,0,,1.781,4738,68,4806
Direkte Datenabfrage,17,deterministic,qwen3:8b,0,0,0,0,0,0,,7.518893299999036,3573,399,3972
Direkte Datenabfrage,17,deterministic,qwen3:30b,0,0,0,0,0,0,,8.011509500000102,3573,720,4293
Direkte Datenabfrage,17,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.4175112000011723,3129,26,3155
Direkte Datenabfrage,17,plan-based,qwen3:8b,0,0,0,0,0,0,,16.88538829999925,4975,1216,6191
Direkte Datenabfrage,17,plan-based,qwen3:30b,1,1,1,1,1,1,,11.511132600004203,4975,1189,6164
Direkte Datenabfrage,17,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.755978299996059,4370,96,4466
Direkte Datenabfrage,17,iterative,qwen3:8b,0,0,0,0,0,0,,23.054,10862,1418,12280
Direkte Datenabfrage,17,iterative,qwen3:30b,1,1,1,1,1,1,,10.181,5397,936,6333
Direkte Datenabfrage,17,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.884,4737,87,4824
Direkte Datenabfrage,18,deterministic,qwen3:8b,1,1,1,1,1,1,,8.742168000000675,3582,501,4083
Direkte Datenabfrage,18,deterministic,qwen3:30b,1,1,1,1,1,1,,7.554430799995316,3582,654,4236
Direkte Datenabfrage,18,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,3.5197465000019292,3132,44,3176
Direkte Datenabfrage,18,plan-based,qwen3:8b,1,1,1,1,1,1,,13.74276060000011,4984,939,5923
Direkte Datenabfrage,18,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,18,plan-based,gpt-5.4-mini,1,1,0,0,1,0,,1.9524938999966253,4373,74,4447
Direkte Datenabfrage,18,iterative,qwen3:8b,1,1,1,1,1,1,,21.356,10947,1249,12196
Direkte Datenabfrage,18,iterative,qwen3:30b,1,1,1,1,1,1,,20.892,10947,1983,12930
Direkte Datenabfrage,18,iterative,gpt-5.4-mini,1,1,0,0,1,0,,1.906,4740,74,4814
Direkte Datenabfrage,19,deterministic,qwen3:8b,0,0,0,0,0,0,,12.256625600000916,3574,820,4394
Direkte Datenabfrage,19,deterministic,qwen3:30b,0,0,0,0,0,0,,9.806268799999089,3574,985,4559
Direkte Datenabfrage,19,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.4587065999949118,3131,26,3157
Direkte Datenabfrage,19,plan-based,qwen3:8b,0,0,0,0,0,0,,7.240378899999996,4976,357,5333
Direkte Datenabfrage,19,plan-based,qwen3:30b,1,1,0,0,1,0,,14.031812599998375,4976,1568,6544
Direkte Datenabfrage,19,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.6808797000048799,4372,91,4463
Direkte Datenabfrage,19,iterative,qwen3:8b,1,1,0,0,1,0,,41.262,16397,2613,19010
Direkte Datenabfrage,19,iterative,qwen3:30b,1,1,1,1,1,1,,10.232,5398,922,6320
Direkte Datenabfrage,19,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.828,4739,88,4827
Direkte Datenabfrage,20,deterministic,qwen3:8b,0,0,0,0,0,0,,10.64701690000038,3578,657,4235
Direkte Datenabfrage,20,deterministic,qwen3:30b,0,0,0,0,0,0,,6.897036399997887,3578,557,4135
Direkte Datenabfrage,20,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.4320249000011245,3134,26,3160
Direkte Datenabfrage,20,plan-based,qwen3:8b,0,0,0,0,0,0,,17.264542200000506,4980,1231,6211
Direkte Datenabfrage,20,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,20,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.8733519000015804,4375,102,4477
Direkte Datenabfrage,20,iterative,qwen3:8b,0,0,0,0,0,0,,23.978,10872,1472,12344
Direkte Datenabfrage,20,iterative,qwen3:30b,1,1,0,0,1,0,,15.112,10872,1166,12038
Direkte Datenabfrage,20,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.946,4742,71,4813
Direkte Datenabfrage,21,deterministic,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,deterministic,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.790392700000666,3135,93,3228
Direkte Datenabfrage,21,plan-based,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.834301900002174,4376,104,4480
Direkte Datenabfrage,21,iterative,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,iterative,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,21,iterative,gpt-5.4-mini,1,0,0,0,0,0,,4.201,9755,186,9941
Direkte Datenabfrage,22,deterministic,qwen3:8b,1,1,1,1,1,1,,8.195972699999402,3585,400,3985
Direkte Datenabfrage,22,deterministic,qwen3:30b,1,1,1,1,1,1,,8.165545999996539,3585,733,4318
Direkte Datenabfrage,22,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.6825337000045693,3139,83,3222
Direkte Datenabfrage,22,plan-based,qwen3:8b,1,1,1,1,1,1,,8.700510000000577,4987,488,5475
Direkte Datenabfrage,22,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,22,plan-based,gpt-5.4-mini,0,0,0,0,0,0,,2.608864399997401,4380,215,4595
Direkte Datenabfrage,22,iterative,qwen3:8b,1,1,1,1,1,1,,15.213,10953,760,11713
Direkte Datenabfrage,22,iterative,qwen3:30b,1,1,1,1,1,1,,17.21,10953,1458,12411
Direkte Datenabfrage,22,iterative,gpt-5.4-mini,1,1,1,1,1,1,,4.062,9629,155,9784
Direkte Datenabfrage,23,deterministic,qwen3:8b,1,1,1,1,1,1,,8.0213119,3590,439,4029
Direkte Datenabfrage,23,deterministic,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,23,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.51164350000181,3144,46,3190
Direkte Datenabfrage,23,plan-based,qwen3:8b,1,1,1,1,1,1,,8.748776299999008,4992,500,5492
Direkte Datenabfrage,23,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,23,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.911260199995013,4385,132,4517
Direkte Datenabfrage,23,iterative,qwen3:8b,1,1,1,1,1,1,,16.236,10963,819,11782
Direkte Datenabfrage,23,iterative,qwen3:30b,1,1,1,1,1,1,,20.298,10963,1867,12830
Direkte Datenabfrage,23,iterative,gpt-5.4-mini,1,1,1,1,1,1,,4.164,9639,115,9754
Direkte Datenabfrage,24,deterministic,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,24,deterministic,qwen3:30b,1,1,1,1,1,1,,8.37388700000156,3584,776,4360
Direkte Datenabfrage,24,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.627047699999821,3135,62,3197
Direkte Datenabfrage,24,plan-based,qwen3:8b,1,1,1,1,1,1,,11.86153970000123,4986,798,5784
Direkte Datenabfrage,24,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,24,plan-based,gpt-5.4-mini,0,0,0,0,0,0,,2.0287882999982685,4376,125,4501
Direkte Datenabfrage,24,iterative,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,24,iterative,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,24,iterative,gpt-5.4-mini,0,0,0,0,0,0,,4.825,4743,115,4858
Direkte Datenabfrage,25,deterministic,qwen3:8b,1,1,1,1,1,1,,7.273616200000106,3581,383,3964
Direkte Datenabfrage,25,deterministic,qwen3:30b,1,1,1,1,1,1,,7.665115899995726,3581,677,4258
Direkte Datenabfrage,25,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.9385192000045208,3136,68,3204
Direkte Datenabfrage,25,plan-based,qwen3:8b,1,1,1,1,1,1,,8.754102000000785,4983,506,5489
Direkte Datenabfrage,25,plan-based,qwen3:30b,1,1,1,1,1,1,,15.610818600005587,4983,1827,6810
Direkte Datenabfrage,25,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,2.0172304999941844,4377,154,4531
Direkte Datenabfrage,25,iterative,qwen3:8b,1,1,1,1,1,1,,16.849,11012,896,11908
Direkte Datenabfrage,25,iterative,qwen3:30b,1,1,1,1,1,1,,15.86,11012,1309,12321
Direkte Datenabfrage,25,iterative,gpt-5.4-mini,1,0,1,0,0,0,,3.545,9693,134,9827
Direkte Datenabfrage,26,deterministic,qwen3:8b,1,1,1,1,1,1,,6.609982699999819,3572,319,3891
Direkte Datenabfrage,26,deterministic,qwen3:30b,1,1,1,1,1,1,,7.155078299998422,3572,605,4177
Direkte Datenabfrage,26,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.6228709999995772,3127,53,3180
Direkte Datenabfrage,26,plan-based,qwen3:8b,1,1,1,1,1,1,,7.802650199999334,4974,426,5400
Direkte Datenabfrage,26,plan-based,qwen3:30b,1,1,1,1,1,1,,7.012315899999521,4974,557,5531
Direkte Datenabfrage,26,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.8421918000021833,4368,90,4458
Direkte Datenabfrage,26,iterative,qwen3:8b,0,0,0,0,0,0,,42.424,32376,2082,34458
Direkte Datenabfrage,26,iterative,qwen3:30b,1,1,1,1,1,1,,8.446,5396,714,6110
Direkte Datenabfrage,26,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.898,4735,74,4809
Direkte Datenabfrage,27,deterministic,qwen3:8b,0,0,0,0,0,0,,9.672913599999447,3576,609,4185
Direkte Datenabfrage,27,deterministic,qwen3:30b,1,1,1,1,1,1,,6.862294799997471,3576,548,4124
Direkte Datenabfrage,27,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.7015257000020938,3131,77,3208
Direkte Datenabfrage,27,plan-based,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,27,plan-based,qwen3:30b,1,1,1,1,1,1,,13.850777499996184,4978,1559,6537
Direkte Datenabfrage,27,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,2.013284799999383,4372,95,4467
Direkte Datenabfrage,27,iterative,qwen3:8b,1,1,1,1,1,1,,134.44,5400,987,6387
Direkte Datenabfrage,27,iterative,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,27,iterative,gpt-5.4-mini,1,1,1,1,1,1,,2.273,4739,78,4817
Direkte Datenabfrage,28,deterministic,qwen3:8b,1,1,1,1,1,1,,6.225056199999017,3571,278,3849
Direkte Datenabfrage,28,deterministic,qwen3:30b,1,1,1,1,1,1,,7.047777399995539,3571,554,4125
Direkte Datenabfrage,28,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.583351200002653,3126,43,3169
Direkte Datenabfrage,28,plan-based,qwen3:8b,0,0,0,0,0,0,,6.180112099998951,4973,276,5249
Direkte Datenabfrage,28,plan-based,qwen3:30b,1,1,1,1,1,1,,5.924520300002769,4973,396,5369
Direkte Datenabfrage,28,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.5536075000054552,4367,48,4415
Direkte Datenabfrage,28,iterative,qwen3:8b,1,1,1,1,1,1,,30.78,32370,1080,33450
Direkte Datenabfrage,28,iterative,qwen3:30b,1,1,1,1,1,1,,6.009,5395,395,5790
Direkte Datenabfrage,28,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.83,4734,51,4785
Direkte Datenabfrage,29,deterministic,qwen3:8b,1,1,1,1,1,1,,7.000651299998935,3571,359,3930
